ID,datetime,passengers-in,passengers-out,station
1450216,2020/9/2 11:30,20,16,1j
1462175,2020/9/2 11:30,26,30,1k
1473896,2020/9/2 11:30,15,11,1l
1485586,2020/9/2 11:30,43,181,1m
1497240,2020/9/2 11:30,28,33,1n
1508747,2020/9/2 11:30,83,95,1o
1520355,2020/9/2 11:30,37,114,1p
1531968,2020/9/2 11:30,22,19,1q
1543835,2020/9/2 11:30,21,17,1r
1555541,2020/9/2 11:30,19,29,1s
1567400,2020/9/2 11:30,51,44,1t
1822644,2020/9/2 11:30,24,15,2a
1834031,2020/9/2 11:30,50,67,2b
1845616,2020/9/2 11:30,30,22,2c
1857164,2020/9/2 11:30,28,27,2d
1868879,2020/9/2 11:30,44,40,2e
1880625,2020/9/2 11:30,28,57,2f
1892342,2020/9/2 11:30,20,45,2g
1904142,2020/9/2 11:30,30,50,2h
1915810,2020/9/2 11:30,37,36,2i
1927314,2020/9/2 11:30,44,27,2j
1938801,2020/9/2 11:30,40,117,2k
1950314,2020/9/2 11:30,24,39,2l
1961770,2020/9/2 11:30,17,16,2m
1973217,2020/9/2 11:30,23,19,2n
1984639,2020/9/2 11:30,19,22,2o
1996013,2020/9/2 11:30,18,39,2p
2007504,2020/9/2 11:30,34,146,2q
2019041,2020/9/2 11:30,16,12,2r
2030481,2020/9/2 11:30,22,18,2s
2041920,2020/9/2 11:30,40,32,2t
2053498,2020/9/2 11:30,200,127,2u
2065036,2020/9/2 11:30,24,21,2v
2076543,2020/9/2 11:30,19,22,2w
2088070,2020/9/2 11:30,35,25,2x
1344501,2020/9/2 11:45,59,51,1a
1356087,2020/9/2 11:45,31,22,1b
1367776,2020/9/2 11:45,31,38,1c
1379511,2020/9/2 11:45,36,29,1d
1391447,2020/9/2 11:45,39,51,1e
1403302,2020/9/2 11:45,61,63,1f
1415088,2020/9/2 11:45,28,36,1g
1426735,2020/9/2 11:45,12,14,1h
1438451,2020/9/2 11:45,35,30,1i
1450217,2020/9/2 11:45,21,14,1j
1462176,2020/9/2 11:45,20,22,1k
1473897,2020/9/2 11:45,14,12,1l
1485587,2020/9/2 11:45,42,191,1m
1497241,2020/9/2 11:45,24,34,1n
1508748,2020/9/2 11:45,99,86,1o
1520356,2020/9/2 11:45,36,123,1p
1531969,2020/9/2 11:45,14,17,1q
1543836,2020/9/2 11:45,12,16,1r
1555542,2020/9/2 11:45,19,31,1s
1567401,2020/9/2 11:45,54,48,1t
1822645,2020/9/2 11:45,21,15,2a
1834032,2020/9/2 11:45,40,50,2b
1845617,2020/9/2 11:45,31,20,2c
1857165,2020/9/2 11:45,34,33,2d
1868880,2020/9/2 11:45,35,37,2e
1880626,2020/9/2 11:45,32,45,2f
1892343,2020/9/2 11:45,29,55,2g
1904143,2020/9/2 11:45,25,44,2h
1915811,2020/9/2 11:45,47,41,2i
1927315,2020/9/2 11:45,35,30,2j
1938802,2020/9/2 11:45,44,99,2k
1950315,2020/9/2 11:45,22,45,2l
1961771,2020/9/2 11:45,19,25,2m
1973218,2020/9/2 11:45,18,19,2n
1984640,2020/9/2 11:45,20,23,2o
1996014,2020/9/2 11:45,20,40,2p
2007505,2020/9/2 11:45,32,157,2q
2019042,2020/9/2 11:45,15,15,2r
2030482,2020/9/2 11:45,20,19,2s
2041921,2020/9/2 11:45,34,35,2t
2053499,2020/9/2 11:45,89,145,2u
2065037,2020/9/2 11:45,21,21,2v
2076544,2020/9/2 11:45,22,19,2w
2088071,2020/9/2 11:45,35,28,2x
1344502,2020/9/2 12:00,52,46,1a
1356088,2020/9/2 12:00,27,24,1b
1367777,2020/9/2 12:00,39,33,1c
1379512,2020/9/2 12:00,36,30,1d
1391448,2020/9/2 12:00,43,41,1e
1403303,2020/9/2 12:00,65,70,1f
1415089,2020/9/2 12:00,26,30,1g
1426736,2020/9/2 12:00,17,12,1h
1438452,2020/9/2 12:00,34,33,1i
1450218,2020/9/2 12:00,17,18,1j
1462177,2020/9/2 12:00,22,20,1k
1473898,2020/9/2 12:00,12,11,1l
1485588,2020/9/2 12:00,52,186,1m
1497242,2020/9/2 12:00,58,34,1n
1508749,2020/9/2 12:00,84,71,1o
1520357,2020/9/2 12:00,63,114,1p
1531970,2020/9/2 12:00,16,18,1q
1543837,2020/9/2 12:00,14,12,1r
1555543,2020/9/2 12:00,24,32,1s
1567402,2020/9/2 12:00,50,42,1t
1822646,2020/9/2 12:00,24,15,2a
1834033,2020/9/2 12:00,46,59,2b
1845618,2020/9/2 12:00,28,22,2c
1857166,2020/9/2 12:00,31,30,2d
1868881,2020/9/2 12:00,39,35,2e
1880627,2020/9/2 12:00,34,59,2f
1892344,2020/9/2 12:00,36,46,2g
1904144,2020/9/2 12:00,34,49,2h
1915812,2020/9/2 12:00,39,39,2i
1927316,2020/9/2 12:00,43,25,2j
1938803,2020/9/2 12:00,64,93,2k
1950316,2020/9/2 12:00,27,48,2l
1961772,2020/9/2 12:00,20,18,2m
1973219,2020/9/2 12:00,17,19,2n
1984641,2020/9/2 12:00,22,24,2o
1996015,2020/9/2 12:00,21,37,2p
2007506,2020/9/2 12:00,33,133,2q
2019043,2020/9/2 12:00,14,14,2r
2030483,2020/9/2 12:00,24,18,2s
2041922,2020/9/2 12:00,35,39,2t
2053500,2020/9/2 12:00,85,139,2u
2065038,2020/9/2 12:00,22,16,2v
2076545,2020/9/2 12:00,19,17,2w
2088072,2020/9/2 12:00,36,25,2x
1344503,2020/9/2 12:15,62,48,1a
1356089,2020/9/2 12:15,30,23,1b
1367778,2020/9/2 12:15,29,36,1c
1379513,2020/9/2 12:15,34,36,1d
1391449,2020/9/2 12:15,42,48,1e
1403304,2020/9/2 12:15,48,70,1f
1415090,2020/9/2 12:15,26,33,1g
1426737,2020/9/2 12:15,13,10,1h
1438453,2020/9/2 12:15,41,20,1i
1450219,2020/9/2 12:15,22,15,1j
1462178,2020/9/2 12:15,29,27,1k
1473899,2020/9/2 12:15,13,13,1l
1485589,2020/9/2 12:15,49,164,1m
1497243,2020/9/2 12:15,78,27,1n
1508750,2020/9/2 12:15,114,70,1o
1520358,2020/9/2 12:15,63,114,1p
1531971,2020/9/2 12:15,16,16,1q
1543838,2020/9/2 12:15,17,9,1r
1555544,2020/9/2 12:15,24,30,1s
1567403,2020/9/2 12:15,44,51,1t
1822647,2020/9/2 12:15,18,16,2a
1834034,2020/9/2 12:15,38,53,2b
1845619,2020/9/2 12:15,29,20,2c
1857167,2020/9/2 12:15,28,33,2d
1868882,2020/9/2 12:15,40,37,2e
1880628,2020/9/2 12:15,41,39,2f
1892345,2020/9/2 12:15,39,45,2g
1904145,2020/9/2 12:15,41,41,2h
1915813,2020/9/2 12:15,42,37,2i
1927317,2020/9/2 12:15,31,32,2j
1938804,2020/9/2 12:15,69,86,2k
1950317,2020/9/2 12:15,24,35,2l
1961773,2020/9/2 12:15,18,21,2m
1973220,2020/9/2 12:15,27,19,2n
1984642,2020/9/2 12:15,25,25,2o
1996016,2020/9/2 12:15,20,34,2p
2007507,2020/9/2 12:15,34,143,2q
2019044,2020/9/2 12:15,12,13,2r
2030484,2020/9/2 12:15,24,19,2s
2041923,2020/9/2 12:15,38,33,2t
2053501,2020/9/2 12:15,72,146,2u
2065039,2020/9/2 12:15,25,21,2v
2076546,2020/9/2 12:15,25,22,2w
2088073,2020/9/2 12:15,29,33,2x
1344504,2020/9/2 12:30,61,43,1a
1356090,2020/9/2 12:30,26,24,1b
1367779,2020/9/2 12:30,39,33,1c
1379514,2020/9/2 12:30,40,29,1d
1391450,2020/9/2 12:30,41,44,1e
1403305,2020/9/2 12:30,63,70,1f
1415091,2020/9/2 12:30,29,34,1g
1426738,2020/9/2 12:30,13,12,1h
1438454,2020/9/2 12:30,47,26,1i
1450220,2020/9/2 12:30,24,16,1j
1462179,2020/9/2 12:30,23,25,1k
1473900,2020/9/2 12:30,12,13,1l
1485590,2020/9/2 12:30,56,191,1m
1497244,2020/9/2 12:30,44,75,1n
1508751,2020/9/2 12:30,100,70,1o
1520359,2020/9/2 12:30,62,113,1p
1531972,2020/9/2 12:30,14,20,1q
1543839,2020/9/2 12:30,11,17,1r
1555545,2020/9/2 12:30,24,31,1s
1567404,2020/9/2 12:30,43,48,1t
1822648,2020/9/2 12:30,19,18,2a
1834035,2020/9/2 12:30,43,54,2b
1845620,2020/9/2 12:30,28,16,2c
1857168,2020/9/2 12:30,30,29,2d
1868883,2020/9/2 12:30,38,30,2e
1880629,2020/9/2 12:30,38,57,2f
1892346,2020/9/2 12:30,28,41,2g
1904146,2020/9/2 12:30,41,44,2h
1915814,2020/9/2 12:30,37,44,2i
1927318,2020/9/2 12:30,32,35,2j
1938805,2020/9/2 12:30,56,88,2k
1950318,2020/9/2 12:30,26,37,2l
1961774,2020/9/2 12:30,19,21,2m
1973221,2020/9/2 12:30,20,23,2n
1984643,2020/9/2 12:30,23,28,2o
1996017,2020/9/2 12:30,22,30,2p
2007508,2020/9/2 12:30,49,126,2q
2019045,2020/9/2 12:30,15,13,2r
2030485,2020/9/2 12:30,25,19,2s
2041924,2020/9/2 12:30,38,33,2t
2053502,2020/9/2 12:30,137,128,2u
2065040,2020/9/2 12:30,21,25,2v
2076547,2020/9/2 12:30,20,17,2w
2088074,2020/9/2 12:30,37,26,2x
1344505,2020/9/2 12:45,60,49,1a
1356091,2020/9/2 12:45,35,21,1b
1367780,2020/9/2 12:45,35,31,1c
1379515,2020/9/2 12:45,40,31,1d
1391451,2020/9/2 12:45,41,50,1e
1403306,2020/9/2 12:45,59,80,1f
1415092,2020/9/2 12:45,31,39,1g
1426739,2020/9/2 12:45,10,11,1h
1438455,2020/9/2 12:45,43,28,1i
1450221,2020/9/2 12:45,19,19,1j
1462180,2020/9/2 12:45,20,21,1k
1473901,2020/9/2 12:45,11,13,1l
1485591,2020/9/2 12:45,57,171,1m
1497245,2020/9/2 12:45,46,22,1n
1508752,2020/9/2 12:45,98,66,1o
1520360,2020/9/2 12:45,76,102,1p
1531973,2020/9/2 12:45,14,17,1q
1543840,2020/9/2 12:45,13,15,1r
1555546,2020/9/2 12:45,24,34,1s
1567405,2020/9/2 12:45,44,51,1t
1822649,2020/9/2 12:45,21,19,2a
1834036,2020/9/2 12:45,46,43,2b
1845621,2020/9/2 12:45,39,23,2c
1857169,2020/9/2 12:45,28,31,2d
1868884,2020/9/2 12:45,31,38,2e
1880630,2020/9/2 12:45,40,44,2f
1892347,2020/9/2 12:45,33,39,2g
1904147,2020/9/2 12:45,42,44,2h
1915815,2020/9/2 12:45,47,48,2i
1927319,2020/9/2 12:45,28,36,2j
1938806,2020/9/2 12:45,75,62,2k
1950319,2020/9/2 12:45,24,38,2l
1961775,2020/9/2 12:45,17,21,2m
1973222,2020/9/2 12:45,22,13,2n
1984644,2020/9/2 12:45,25,24,2o
1996018,2020/9/2 12:45,18,35,2p
2007509,2020/9/2 12:45,46,125,2q
2019046,2020/9/2 12:45,15,14,2r
2030486,2020/9/2 12:45,23,20,2s
2041925,2020/9/2 12:45,34,33,2t
2053503,2020/9/2 12:45,116,102,2u
2065041,2020/9/2 12:45,22,18,2v
2076548,2020/9/2 12:45,21,21,2w
2088075,2020/9/2 12:45,34,33,2x
1344506,2020/9/2 13:00,58,51,1a
1356092,2020/9/2 13:00,29,23,1b
1367781,2020/9/2 13:00,36,31,1c
1379516,2020/9/2 13:00,40,28,1d
1391452,2020/9/2 13:00,43,46,1e
1403307,2020/9/2 13:00,52,73,1f
1415093,2020/9/2 13:00,33,29,1g
1426740,2020/9/2 13:00,15,12,1h
1438456,2020/9/2 13:00,33,27,1i
1450222,2020/9/2 13:00,24,15,1j
1462181,2020/9/2 13:00,26,23,1k
1473902,2020/9/2 13:00,11,12,1l
1485592,2020/9/2 13:00,64,155,1m
1497246,2020/9/2 13:00,37,51,1n
1508753,2020/9/2 13:00,123,79,1o
1520361,2020/9/2 13:00,88,103,1p
1531974,2020/9/2 13:00,14,15,1q
1543841,2020/9/2 13:00,12,16,1r
1555547,2020/9/2 13:00,30,34,1s
1567406,2020/9/2 13:00,44,54,1t
1822650,2020/9/2 13:00,20,19,2a
1834037,2020/9/2 13:00,50,45,2b
1845622,2020/9/2 13:00,41,21,2c
1857170,2020/9/2 13:00,31,25,2d
1868885,2020/9/2 13:00,40,33,2e
1880631,2020/9/2 13:00,39,55,2f
1892348,2020/9/2 13:00,34,41,2g
1904148,2020/9/2 13:00,39,44,2h
1915816,2020/9/2 13:00,45,43,2i
1927320,2020/9/2 13:00,31,39,2j
1938807,2020/9/2 13:00,77,75,2k
1950320,2020/9/2 13:00,24,45,2l
1961776,2020/9/2 13:00,21,24,2m
1973223,2020/9/2 13:00,21,22,2n
1984645,2020/9/2 13:00,25,20,2o
1996019,2020/9/2 13:00,35,32,2p
2007510,2020/9/2 13:00,50,122,2q
2019047,2020/9/2 13:00,13,15,2r
2030487,2020/9/2 13:00,22,19,2s
2041926,2020/9/2 13:00,48,23,2t
2053504,2020/9/2 13:00,207,139,2u
2065042,2020/9/2 13:00,24,20,2v
2076549,2020/9/2 13:00,23,18,2w
2088076,2020/9/2 13:00,29,29,2x
1344507,2020/9/2 13:15,61,55,1a
1356093,2020/9/2 13:15,25,26,1b
1367782,2020/9/2 13:15,37,30,1c
1379517,2020/9/2 13:15,44,34,1d
1391453,2020/9/2 13:15,38,48,1e
1403308,2020/9/2 13:15,64,73,1f
1415094,2020/9/2 13:15,38,30,1g
1426741,2020/9/2 13:15,14,10,1h
1438457,2020/9/2 13:15,45,28,1i
1450223,2020/9/2 13:15,26,22,1j
1462182,2020/9/2 13:15,27,18,1k
1473903,2020/9/2 13:15,11,8,1l
1485593,2020/9/2 13:15,75,156,1m
1497247,2020/9/2 13:15,32,30,1n
1508754,2020/9/2 13:15,107,78,1o
1520362,2020/9/2 13:15,104,92,1p
1531975,2020/9/2 13:15,14,16,1q
1543842,2020/9/2 13:15,12,13,1r
1555548,2020/9/2 13:15,26,33,1s
1567407,2020/9/2 13:15,43,47,1t
1822651,2020/9/2 13:15,21,15,2a
1834038,2020/9/2 13:15,39,46,2b
1845623,2020/9/2 13:15,46,23,2c
1857171,2020/9/2 13:15,28,32,2d
1868886,2020/9/2 13:15,42,33,2e
1880632,2020/9/2 13:15,41,53,2f
1892349,2020/9/2 13:15,28,49,2g
1904149,2020/9/2 13:15,39,39,2h
1915817,2020/9/2 13:15,47,43,2i
1927321,2020/9/2 13:15,24,45,2j
1938808,2020/9/2 13:15,86,76,2k
1950321,2020/9/2 13:15,26,44,2l
1961777,2020/9/2 13:15,18,24,2m
1973224,2020/9/2 13:15,21,14,2n
1984646,2020/9/2 13:15,26,21,2o
1996020,2020/9/2 13:15,26,35,2p
2007511,2020/9/2 13:15,47,129,2q
2019048,2020/9/2 13:15,15,17,2r
2030488,2020/9/2 13:15,21,17,2s
2041927,2020/9/2 13:15,44,34,2t
2053505,2020/9/2 13:15,218,166,2u
2065043,2020/9/2 13:15,27,19,2v
2076550,2020/9/2 13:15,20,24,2w
2088077,2020/9/2 13:15,42,30,2x
1344508,2020/9/2 13:30,70,57,1a
1356094,2020/9/2 13:30,30,25,1b
1367783,2020/9/2 13:30,37,30,1c
1379518,2020/9/2 13:30,38,31,1d
1391454,2020/9/2 13:30,42,78,1e
1403309,2020/9/2 13:30,53,112,1f
1415095,2020/9/2 13:30,28,36,1g
1426742,2020/9/2 13:30,12,13,1h
1438458,2020/9/2 13:30,45,29,1i
1450224,2020/9/2 13:30,30,23,1j
1462183,2020/9/2 13:30,33,27,1k
1473904,2020/9/2 13:30,10,45,1l
1485594,2020/9/2 13:30,82,163,1m
1497248,2020/9/2 13:30,24,22,1n
1508755,2020/9/2 13:30,113,69,1o
1520363,2020/9/2 13:30,109,97,1p
1531976,2020/9/2 13:30,14,11,1q
1543843,2020/9/2 13:30,16,16,1r
1555549,2020/9/2 13:30,27,39,1s
1567408,2020/9/2 13:30,47,91,1t
1822652,2020/9/2 13:30,21,20,2a
1834039,2020/9/2 13:30,47,47,2b
1845624,2020/9/2 13:30,46,13,2c
1857172,2020/9/2 13:30,37,28,2d
1868887,2020/9/2 13:30,41,43,2e
1880633,2020/9/2 13:30,38,62,2f
1892350,2020/9/2 13:30,38,39,2g
1904150,2020/9/2 13:30,37,51,2h
1915818,2020/9/2 13:30,43,41,2i
1927322,2020/9/2 13:30,26,36,2j
1938809,2020/9/2 13:30,100,77,2k
1950322,2020/9/2 13:30,24,38,2l
1961778,2020/9/2 13:30,22,25,2m
1973225,2020/9/2 13:30,21,20,2n
1984647,2020/9/2 13:30,22,24,2o
1996021,2020/9/2 13:30,37,32,2p
2007512,2020/9/2 13:30,60,136,2q
2019049,2020/9/2 13:30,13,14,2r
2030489,2020/9/2 13:30,20,15,2s
2041928,2020/9/2 13:30,44,34,2t
2053506,2020/9/2 13:30,177,163,2u
2065044,2020/9/2 13:30,24,23,2v
2076551,2020/9/2 13:30,22,20,2w
2088078,2020/9/2 13:30,34,29,2x
1344509,2020/9/2 13:45,69,59,1a
1356095,2020/9/2 13:45,29,20,1b
1367784,2020/9/2 13:45,41,33,1c
1379519,2020/9/2 13:45,36,37,1d
1391455,2020/9/2 13:45,41,52,1e
1403310,2020/9/2 13:45,62,103,1f
1415096,2020/9/2 13:45,31,30,1g
1426743,2020/9/2 13:45,16,9,1h
1438459,2020/9/2 13:45,46,30,1i
1450225,2020/9/2 13:45,25,17,1j
1462184,2020/9/2 13:45,27,27,1k
1473905,2020/9/2 13:45,11,11,1l
1485595,2020/9/2 13:45,86,168,1m
1497249,2020/9/2 13:45,24,32,1n
1508756,2020/9/2 13:45,102,76,1o
1520364,2020/9/2 13:45,114,102,1p
1531977,2020/9/2 13:45,20,18,1q
1543844,2020/9/2 13:45,17,18,1r
1555550,2020/9/2 13:45,31,40,1s
1567409,2020/9/2 13:45,38,63,1t
1822653,2020/9/2 13:45,20,14,2a
1834040,2020/9/2 13:45,63,49,2b
1845625,2020/9/2 13:45,46,19,2c
1857173,2020/9/2 13:45,36,43,2d
1868888,2020/9/2 13:45,36,44,2e
1880634,2020/9/2 13:45,38,54,2f
1892351,2020/9/2 13:45,32,50,2g
1904151,2020/9/2 13:45,38,42,2h
1915819,2020/9/2 13:45,44,47,2i
1927323,2020/9/2 13:45,28,39,2j
1938810,2020/9/2 13:45,92,80,2k
1950323,2020/9/2 13:45,29,46,2l
1961779,2020/9/2 13:45,18,25,2m
1973226,2020/9/2 13:45,17,15,2n
1984648,2020/9/2 13:45,25,23,2o
1996022,2020/9/2 13:45,26,34,2p
2007513,2020/9/2 13:45,63,136,2q
2019050,2020/9/2 13:45,14,12,2r
2030490,2020/9/2 13:45,19,21,2s
2041929,2020/9/2 13:45,40,40,2t
2053507,2020/9/2 13:45,194,131,2u
2065045,2020/9/2 13:45,24,22,2v
2076552,2020/9/2 13:45,22,22,2w
2088079,2020/9/2 13:45,29,36,2x
1344510,2020/9/2 14:00,66,55,1a
1356096,2020/9/2 14:00,31,27,1b
1367785,2020/9/2 14:00,46,35,1c
1379520,2020/9/2 14:00,36,26,1d
1391456,2020/9/2 14:00,40,50,1e
1403311,2020/9/2 14:00,58,113,1f
1415097,2020/9/2 14:00,34,29,1g
1426744,2020/9/2 14:00,12,13,1h
1438460,2020/9/2 14:00,45,33,1i
1450226,2020/9/2 14:00,25,18,1j
1462185,2020/9/2 14:00,33,26,1k
1473906,2020/9/2 14:00,13,11,1l
1485596,2020/9/2 14:00,89,172,1m
1497250,2020/9/2 14:00,33,34,1n
1508757,2020/9/2 14:00,120,97,1o
1520365,2020/9/2 14:00,135,110,1p
1531978,2020/9/2 14:00,13,47,1q
1543845,2020/9/2 14:00,19,15,1r
1555551,2020/9/2 14:00,22,33,1s
1567410,2020/9/2 14:00,42,53,1t
1822654,2020/9/2 14:00,19,16,2a
1834041,2020/9/2 14:00,77,49,2b
1845626,2020/9/2 14:00,44,17,2c
1857174,2020/9/2 14:00,36,34,2d
1868889,2020/9/2 14:00,40,41,2e
1880635,2020/9/2 14:00,46,53,2f
1892352,2020/9/2 14:00,38,37,2g
1904152,2020/9/2 14:00,39,45,2h
1915820,2020/9/2 14:00,46,44,2i
1927324,2020/9/2 14:00,32,35,2j
1938811,2020/9/2 14:00,96,80,2k
1950324,2020/9/2 14:00,27,42,2l
1961780,2020/9/2 14:00,19,24,2m
1973227,2020/9/2 14:00,23,17,2n
1984649,2020/9/2 14:00,24,20,2o
1996023,2020/9/2 14:00,32,29,2p
2007514,2020/9/2 14:00,71,129,2q
2019051,2020/9/2 14:00,17,16,2r
2030491,2020/9/2 14:00,24,21,2s
2041930,2020/9/2 14:00,39,32,2t
2053508,2020/9/2 14:00,214,115,2u
2065046,2020/9/2 14:00,21,24,2v
2076553,2020/9/2 14:00,24,17,2w
2088080,2020/9/2 14:00,30,34,2x
1344511,2020/9/2 14:15,51,59,1a
1356097,2020/9/2 14:15,32,25,1b
1367786,2020/9/2 14:15,41,36,1c
1379521,2020/9/2 14:15,37,38,1d
1391457,2020/9/2 14:15,45,48,1e
1403312,2020/9/2 14:15,55,127,1f
1415098,2020/9/2 14:15,30,29,1g
1426745,2020/9/2 14:15,18,14,1h
1438461,2020/9/2 14:15,45,31,1i
1450227,2020/9/2 14:15,19,19,1j
1462186,2020/9/2 14:15,30,26,1k
1473907,2020/9/2 14:15,15,14,1l
1485597,2020/9/2 14:15,100,181,1m
1497251,2020/9/2 14:15,41,31,1n
1508758,2020/9/2 14:15,69,69,1o
1520366,2020/9/2 14:15,89,114,1p
1531979,2020/9/2 14:15,13,22,1q
1543846,2020/9/2 14:15,17,13,1r
1555552,2020/9/2 14:15,32,29,1s
1567411,2020/9/2 14:15,42,51,1t
1822655,2020/9/2 14:15,17,20,2a
1834042,2020/9/2 14:15,80,41,2b
1845627,2020/9/2 14:15,47,17,2c
1857175,2020/9/2 14:15,43,36,2d
1868890,2020/9/2 14:15,35,38,2e
1880636,2020/9/2 14:15,44,44,2f
1892353,2020/9/2 14:15,33,35,2g
1904153,2020/9/2 14:15,43,44,2h
1915821,2020/9/2 14:15,38,37,2i
1927325,2020/9/2 14:15,31,45,2j
1938812,2020/9/2 14:15,83,58,2k
1950325,2020/9/2 14:15,33,37,2l
1961781,2020/9/2 14:15,19,21,2m
1973228,2020/9/2 14:15,21,17,2n
1984650,2020/9/2 14:15,29,18,2o
1996024,2020/9/2 14:15,32,30,2p
2007515,2020/9/2 14:15,75,130,2q
2019052,2020/9/2 14:15,15,15,2r
2030492,2020/9/2 14:15,23,16,2s
2041931,2020/9/2 14:15,35,37,2t
2053509,2020/9/2 14:15,165,133,2u
2065047,2020/9/2 14:15,26,20,2v
2076554,2020/9/2 14:15,22,17,2w
2088081,2020/9/2 14:15,30,37,2x
1344512,2020/9/2 14:30,60,61,1a
1356098,2020/9/2 14:30,23,26,1b
1367787,2020/9/2 14:30,41,36,1c
1379522,2020/9/2 14:30,37,38,1d
1391458,2020/9/2 14:30,39,50,1e
1403313,2020/9/2 14:30,61,106,1f
1415099,2020/9/2 14:30,42,36,1g
1426746,2020/9/2 14:30,16,15,1h
1438462,2020/9/2 14:30,37,39,1i
1450228,2020/9/2 14:30,21,17,1j
1462187,2020/9/2 14:30,28,30,1k
1473908,2020/9/2 14:30,13,15,1l
1485598,2020/9/2 14:30,101,189,1m
1497252,2020/9/2 14:30,34,21,1n
1508759,2020/9/2 14:30,110,82,1o
1520367,2020/9/2 14:30,131,116,1p
1531980,2020/9/2 14:30,14,22,1q
1543847,2020/9/2 14:30,16,11,1r
1555553,2020/9/2 14:30,30,29,1s
1567412,2020/9/2 14:30,48,57,1t
1822656,2020/9/2 14:30,18,22,2a
1834043,2020/9/2 14:30,61,53,2b
1845628,2020/9/2 14:30,43,19,2c
1857176,2020/9/2 14:30,48,23,2d
1868891,2020/9/2 14:30,33,44,2e
1880637,2020/9/2 14:30,39,53,2f
1892354,2020/9/2 14:30,37,40,2g
1904154,2020/9/2 14:30,38,54,2h
1915822,2020/9/2 14:30,46,35,2i
1927326,2020/9/2 14:30,34,36,2j
1938813,2020/9/2 14:30,94,70,2k
1950326,2020/9/2 14:30,27,42,2l
1961782,2020/9/2 14:30,17,25,2m
1973229,2020/9/2 14:30,22,19,2n
1984651,2020/9/2 14:30,28,24,2o
1996025,2020/9/2 14:30,39,33,2p
2007516,2020/9/2 14:30,72,140,2q
2019053,2020/9/2 14:30,16,13,2r
2030493,2020/9/2 14:30,24,16,2s
2041932,2020/9/2 14:30,48,40,2t
2053510,2020/9/2 14:30,136,122,2u
2065048,2020/9/2 14:30,23,24,2v
2076555,2020/9/2 14:30,24,18,2w
2088082,2020/9/2 14:30,32,26,2x
1344513,2020/9/2 14:45,48,63,1a
1356099,2020/9/2 14:45,21,26,1b
1367788,2020/9/2 14:45,36,35,1c
1379523,2020/9/2 14:45,34,40,1d
1391459,2020/9/2 14:45,42,55,1e
1403314,2020/9/2 14:45,59,104,1f
1415100,2020/9/2 14:45,26,31,1g
1426747,2020/9/2 14:45,14,16,1h
1438463,2020/9/2 14:45,37,34,1i
1450229,2020/9/2 14:45,25,16,1j
1462188,2020/9/2 14:45,25,30,1k
1473909,2020/9/2 14:45,10,16,1l
1485599,2020/9/2 14:45,112,172,1m
1497253,2020/9/2 14:45,34,27,1n
1508760,2020/9/2 14:45,118,73,1o
1520368,2020/9/2 14:45,124,106,1p
1531981,2020/9/2 14:45,12,20,1q
1543848,2020/9/2 14:45,13,13,1r
1555554,2020/9/2 14:45,26,31,1s
1567413,2020/9/2 14:45,44,58,1t
1822657,2020/9/2 14:45,16,17,2a
1834044,2020/9/2 14:45,69,45,2b
1845629,2020/9/2 14:45,45,21,2c
1857177,2020/9/2 14:45,45,40,2d
1868892,2020/9/2 14:45,43,40,2e
1880638,2020/9/2 14:45,42,43,2f
1892355,2020/9/2 14:45,40,35,2g
1904155,2020/9/2 14:45,38,62,2h
1915823,2020/9/2 14:45,41,48,2i
1927327,2020/9/2 14:45,38,39,2j
1938814,2020/9/2 14:45,117,67,2k
1950327,2020/9/2 14:45,25,45,2l
1961783,2020/9/2 14:45,21,21,2m
1973230,2020/9/2 14:45,17,17,2n
1984652,2020/9/2 14:45,37,18,2o
1996026,2020/9/2 14:45,32,38,2p
2007517,2020/9/2 14:45,82,154,2q
2019054,2020/9/2 14:45,16,15,2r
2030494,2020/9/2 14:45,19,17,2s
2041933,2020/9/2 14:45,44,43,2t
2053511,2020/9/2 14:45,116,140,2u
2065049,2020/9/2 14:45,24,21,2v
2076556,2020/9/2 14:45,21,25,2w
2088083,2020/9/2 14:45,33,32,2x
1344514,2020/9/2 15:00,52,63,1a
1356100,2020/9/2 15:00,29,24,1b
1367789,2020/9/2 15:00,44,35,1c
1379524,2020/9/2 15:00,32,44,1d
1391460,2020/9/2 15:00,34,47,1e
1403315,2020/9/2 15:00,65,95,1f
1415101,2020/9/2 15:00,31,34,1g
1426748,2020/9/2 15:00,15,13,1h
1438464,2020/9/2 15:00,45,30,1i
1450230,2020/9/2 15:00,20,15,1j
1462189,2020/9/2 15:00,26,25,1k
1473910,2020/9/2 15:00,13,10,1l
1485600,2020/9/2 15:00,129,166,1m
1497254,2020/9/2 15:00,43,25,1n
1508761,2020/9/2 15:00,111,78,1o
1520369,2020/9/2 15:00,142,99,1p
1531982,2020/9/2 15:00,16,18,1q
1543849,2020/9/2 15:00,16,9,1r
1555555,2020/9/2 15:00,42,27,1s
1567414,2020/9/2 15:00,46,50,1t
1822658,2020/9/2 15:00,16,23,2a
1834045,2020/9/2 15:00,61,56,2b
1845630,2020/9/2 15:00,50,17,2c
1857178,2020/9/2 15:00,39,34,2d
1868893,2020/9/2 15:00,48,44,2e
1880639,2020/9/2 15:00,45,42,2f
1892356,2020/9/2 15:00,37,29,2g
1904156,2020/9/2 15:00,45,54,2h
